Pitch,Velocity,Position,Length
73,99,53.25,0.103
73,84,54.0,0.105
76,84,54.0,0.071
80,94,54.0,0.111
72,85,54.5,0.113
79,91,54.5,0.098
75,98,54.5,0.082
78,79,55.0,0.517
71,88,55.0,0.557
74,100,55.0,0.53
69,83,56.5,0.121
73,91,56.5,0.113
78,105,56.5,0.153
75,83,57.25,0.103
69,85,57.25,0.132
78,94,57.25,0.125
69,89,58.0,0.13
76,93,58.0,0.128
78,105,58.0,0.123
75,84,59.0,0.478
69,90,59.0,0.496
78,103,59.0,0.45
69,84,60.5,0.125
73,103,60.5,0.107
78,105,60.5,0.146
69,90,61.25,0.142
78,99,61.25,0.142
75,99,61.25,0.107
71,79,62.0,0.136
78,95,62.0,0.117
76,98,62.0,0.142
69,88,62.5,0.111
76,93,62.5,0.113
78,105,62.5,0.15
71,89,63.0,0.525
75,90,63.0,0.534
78,103,63.0,0.517
69,77,64.5,0.132
73,83,64.5,0.082
78,98,64.5,0.113
69,79,65.25,0.13
75,81,65.25,0.098
78,88,65.25,0.123
78,75,66.0,0.128
69,80,66.0,0.13
76,93,66.0,0.113
75,75,67.0,0.578
69,79,67.0,0.603
78,95,67.0,0.59
69,78,68.5,0.128
73,90,68.5,0.105
78,98,68.5,0.136
75,80,69.25,0.103
69,82,69.25,0.117
78,95,69.25,0.136
69,75,70.0,0.121
78,82,70.0,0.132
76,88,70.0,0.121
69,73,70.5,0.125
78,77,70.5,0.159
76,82,70.5,0.128
75,69,71.0,0.498
69,84,71.0,0.525
78,103,71.0,0.528
71,77,72.5,0.123
73,81,72.5,0.098
78,95,72.5,0.142
71,81,73.25,0.136
75,82,73.25,0.111
78,98,73.25,0.142
71,78,74.0,0.132
76,83,74.0,0.109
78,90,74.0,0.157
71,77,75.0,0.703
75,79,75.0,0.688
78,91,75.0,0.692
71,78,76.5,0.113
73,84,76.5,0.103
78,95,76.5,0.119
75,70,77.25,0.1
71,77,77.25,0.132
78,103,77.25,0.138
76,81,78.0,0.105
71,82,78.0,0.144
78,91,78.0,0.153
71,80,78.5,0.119
78,84,78.5,0.125
76,88,78.5,0.119
75,77,79.0,0.53
71,81,79.0,0.553
78,105,79.0,0.548
71,80,80.5,0.125
73,83,80.5,0.103
78,98,80.5,0.15
71,79,81.25,0.138
78,94,81.25,0.161
74,94,81.25,0.092
71,82,82.0,0.117
76,94,82.0,0.113
78,98,82.0,0.13
71,77,83.0,0.707
78,98,83.0,0.709
74,101,83.0,0.686
71,79,84.5,0.125
73,90,84.5,0.111
78,98,84.5,0.142
71,79,85.25,0.111
78,91,85.25,0.15
74,103,85.25,0.105
71,78,86.0,0.128
78,91,86.0,0.14
76,91,86.0,0.134
71,73,86.5,0.138
76,79,86.5,0.115
78,91,86.5,0.159
71,81,87.0,0.563
74,98,87.0,0.548
78,99,87.0,0.588
73,80,88.5,0.084
71,82,88.5,0.098
78,98,88.5,0.144
75,81,89.25,0.1
71,82,89.25,0.107
78,98,89.25,0.113
71,82,90.0,0.109
76,89,90.0,0.125
78,91,90.0,0.117
75,79,91.0,0.667
71,82,91.0,0.692
78,90,91.0,0.675
73,80,92.5,0.082
71,83,92.5,0.119
78,105,92.5,0.13
75,75,93.25,0.092
71,84,93.25,0.098
78,99,93.25,0.115
71,82,94.0,0.119
78,83,94.0,0.144
76,85,94.0,0.125
71,83,94.5,0.125
76,83,94.5,0.121
78,91,94.5,0.161
75,79,95.0,0.675
78,80,95.0,0.68
71,83,95.0,0.688
