Pitch,Velocity,Position,Length
58,93,222.375,0.125
59,102,222.5,0.104
64,99,222.625,0.117
62,99,223.0,0.148
61,111,223.375,0.143
60,72,223.75,0.208
59,76,224.0,0.191
54,78,224.25,0.047
47,55,224.375,0.099
49,70,224.5,0.067
51,85,224.625,0.152
54,88,224.75,0.068
56,104,225.25,0.109
54,85,225.375,0.173
47,92,225.75,0.118
49,84,225.875,0.144
51,80,226.0,0.079
54,84,226.125,0.043
54,98,226.25,0.057
54,71,226.375,0.092
56,94,226.5,0.129
54,51,226.625,0.15
51,87,226.75,0.066
54,109,227.0,0.209
52,106,227.5,0.36
53,92,227.875,0.123
54,100,228.0,0.146
57,82,228.125,0.173
59,103,228.25,0.25
57,94,228.5,0.175
54,88,228.625,0.108
52,104,228.75,0.229
54,104,229.0,0.193
42,118,230.25,0.114
42,118,230.625,0.106
42,111,231.0,0.119
47,96,231.75,0.11
48,84,231.875,0.141
49,94,232.0,1.734
44,105,233.75,0.263
47,69,234.0,0.104
49,62,234.0,0.185
49,111,235.75,0.098
47,99,235.875,0.132
52,103,236.0,0.125
49,114,236.125,0.119
47,107,236.25,0.099
44,116,236.375,0.102
40,114,236.5,0.117
40,109,237.25,0.082
40,110,237.375,0.077
40,118,237.5,0.17
42,105,237.75,0.054
42,109,237.875,0.066
42,112,238.0,0.184
44,108,238.25,0.067
44,104,238.375,0.072
44,90,238.5,0.135
47,108,238.75,0.067
47,104,238.875,0.072
47,90,239.0,0.135
49,104,239.125,0.155
52,104,239.25,0.155
49,104,239.5,0.155
47,104,239.75,0.155
45,104,239.875,0.155
47,108,240.0,0.262
49,116,240.25,0.094
47,100,240.375,0.13
49,100,240.5,0.117
51,72,240.625,0.141
54,97,240.75,0.166
56,116,241.25,0.172
54,94,241.375,0.132
49,112,241.75,0.136
47,96,241.875,0.142
49,104,242.0,0.132
51,79,242.125,0.113
54,76,242.25,0.08
54,98,242.375,0.129
56,98,242.5,0.131
54,87,242.625,0.134
51,92,242.75,0.128
56,92,242.875,0.128
54,87,243.0,0.163
51,89,243.125,0.121
49,109,243.25,0.128
51,62,243.375,0.103
51,101,243.625,0.121
49,109,243.75,0.104
51,88,243.875,0.105
52,90,244.0,0.165
51,97,244.125,0.125
49,112,244.25,0.098
45,104,244.375,0.123
42,100,244.5,0.12
