Pitch,Velocity,Position,Length
62,99,88.75,0.296
61,111,89.5,0.286
60,72,90.25,0.415
59,76,90.75,0.382
54,78,91.25,0.094
47,55,91.5,0.198
49,70,91.75,0.134
51,85,92.0,0.303
54,88,92.25,0.136
56,104,93.25,0.217
54,85,93.5,0.346
47,92,94.25,0.236
49,84,94.5,0.288
51,80,94.75,0.157
54,84,95.0,0.086
54,98,95.25,0.113
54,71,95.5,0.184
56,94,95.75,0.257
54,51,96.0,0.3
51,87,96.25,0.132
54,109,96.75,0.417
52,106,97.75,0.719
53,92,98.5,0.246
54,100,98.75,0.292
57,82,99.0,0.346
59,103,99.25,0.5
57,94,99.75,0.35
54,88,100.0,0.215
52,104,100.25,0.457
54,104,100.75,0.386
42,118,103.25,0.228
42,118,104.0,0.211
42,111,104.75,0.238
47,96,106.25,0.219
48,84,106.5,0.282
49,94,106.75,3.467
44,105,110.25,0.525
47,69,110.75,0.207
49,62,110.75,0.369
49,111,114.25,0.196
47,99,114.5,0.263
52,103,114.75,0.25
49,114,115.0,0.238
47,107,115.25,0.198
44,116,115.5,0.203
40,114,115.75,0.234
40,109,117.25,0.163
40,110,117.5,0.153
40,118,117.75,0.34
42,105,118.25,0.107
42,109,118.5,0.132
42,112,118.75,0.367
44,108,119.25,0.134
44,104,119.5,0.144
44,90,119.75,0.269
47,108,120.25,0.134
47,104,120.5,0.144
47,90,120.75,0.269
49,104,121.0,0.309
52,104,121.25,0.309
49,104,121.75,0.309
47,104,122.25,0.309
45,104,122.5,0.309
47,108,122.75,0.523
49,116,123.25,0.188
47,100,123.5,0.259
49,100,123.75,0.234
51,72,124.0,0.282
54,97,124.25,0.332
56,116,125.25,0.344
54,94,125.5,0.263
49,112,126.25,0.271
47,96,126.5,0.284
49,104,126.75,0.263
51,79,127.0,0.225
54,76,127.25,0.159
54,98,127.5,0.257
56,98,127.75,0.261
54,87,128.0,0.267
51,92,128.25,0.255
56,92,128.5,0.255
54,87,128.75,0.325
51,89,129.0,0.242
49,109,129.25,0.255
51,62,129.5,0.205
51,101,130.0,0.242
49,109,130.25,0.207
51,88,130.5,0.209
52,90,130.75,0.33
51,97,131.0,0.25
49,112,131.25,0.196
45,104,131.5,0.246
42,100,131.75,0.24
